BinID,Timestamp,Distance(cm),Fill(%),Status
1,2026-01-26 00:00:00,143.2,8.0,Collected
1,2026-01-26 00:15:00,145.3,8.0,Collected
1,2026-01-26 00:30:00,146.0,8.0,Collected
1,2026-01-26 00:45:00,145.3,8.0,Collected
1,2026-01-26 01:00:00,145.0,8.0,Collected
1,2026-01-26 01:15:00,141.1,8.1,Collected
1,2026-01-26 01:30:00,145.0,8.4,Collected
1,2026-01-26 01:45:00,146.9,8.4,Collected
1,2026-01-26 02:00:00,145.8,8.5,Collected
1,2026-01-26 02:15:00,145.5,8.5,Collected
1,2026-01-26 02:30:00,143.8,8.7,Collected
1,2026-01-26 02:45:00,144.1,8.8,Collected
1,2026-01-26 03:00:00,144.1,8.8,Collected
1,2026-01-26 03:15:00,145.4,9.0,Collected
1,2026-01-26 03:30:00,141.8,9.3,Collected
1,2026-01-26 03:45:00,140.4,9.5,Collected
1,2026-01-26 04:00:00,144.2,9.5,Collected
1,2026-01-26 04:15:00,140.9,9.6,Collected
1,2026-01-26 04:30:00,142.4,9.9,Collected
1,2026-01-26 04:45:00,143.0,10.0,Collected
1,2026-01-26 05:00:00,141.8,10.3,Half Empty
1,2026-01-26 05:15:00,140.8,10.5,Half Empty
1,2026-01-26 05:30:00,141.7,10.6,Half Empty
1,2026-01-26 05:45:00,141.6,10.7,Half Empty
1,2026-01-26 06:00:00,142.1,11.1,Half Empty
1,2026-01-26 06:15:00,138.6,11.7,Half Empty
1,2026-01-26 06:30:00,140.1,12.0,Half Empty
1,2026-01-26 06:45:00,140.2,12.4,Half Empty
1,2026-01-26 07:00:00,137.5,13.2,Half Empty
1,2026-01-26 07:15:00,137.8,13.4,Half Empty
1,2026-01-26 07:30:00,137.1,14.0,Half Empty
1,2026-01-26 07:45:00,135.5,14.3,Half Empty
1,2026-01-26 08:00:00,136.1,15.0,Half Empty
1,2026-01-26 08:15:00,131.5,15.8,Half Empty
1,2026-01-26 08:30:00,133.0,16.1,Half Empty
1,2026-01-26 08:45:00,132.5,16.2,Half Empty
1,2026-01-26 09:00:00,131.5,16.7,Half Empty
1,2026-01-26 09:15:00,131.8,17.0,Half Empty
1,2026-01-26 09:30:00,131.5,17.7,Half Empty
1,2026-01-26 09:45:00,131.1,18.0,Half Empty
1,2026-01-26 10:00:00,129.1,18.7,Half Empty
1,2026-01-26 10:15:00,128.7,19.4,Half Empty
1,2026-01-26 10:30:00,124.8,20.2,Half Empty
1,2026-01-26 10:45:00,125.1,20.8,Half Empty
1,2026-01-26 11:00:00,126.2,21.4,Half Empty
1,2026-01-26 11:15:00,123.8,22.3,Half Empty
1,2026-01-26 11:30:00,122.4,23.4,Half Empty
1,2026-01-26 11:45:00,123.2,24.2,Half Empty
1,2026-01-26 12:00:00,119.3,25.2,Half Empty
1,2026-01-26 12:15:00,115.6,26.8,Half Empty
1,2026-01-26 12:30:00,116.8,27.1,Half Empty
1,2026-01-26 12:45:00,115.9,27.8,Half Empty
1,2026-01-26 13:00:00,113.8,28.9,Half Empty
1,2026-01-26 13:15:00,112.7,29.6,Half Empty
1,2026-01-26 13:30:00,113.1,30.7,Half Empty
1,2026-01-26 13:45:00,111.1,31.2,Half Empty
1,2026-01-26 14:00:00,112.1,32.0,Half Empty
1,2026-01-26 14:15:00,105.5,33.0,Half Empty
1,2026-01-26 14:30:00,104.7,34.0,Half Empty
1,2026-01-26 14:45:00,103.5,34.8,Half Empty
1,2026-01-26 15:00:00,104.0,35.6,Half Empty
1,2026-01-26 15:15:00,102.5,36.2,Half Empty
1,2026-01-26 15:30:00,104.5,36.8,Half Empty
1,2026-01-26 15:45:00,99.5,37.8,Half Empty
1,2026-01-26 16:00:00,99.9,38.3,Half Empty
1,2026-01-26 16:15:00,100.5,38.6,Half Empty
1,2026-01-26 16:30:00,99.2,39.1,Half Empty
1,2026-01-26 16:45:00,99.2,39.6,Half Empty
1,2026-01-26 17:00:00,96.8,40.4,Half Empty
1,2026-01-26 17:15:00,94.9,40.9,Half Empty
1,2026-01-26 17:30:00,95.1,41.7,Half Empty
1,2026-01-26 17:45:00,93.5,42.4,Half Empty
1,2026-01-26 18:00:00,93.3,42.8,Half Empty
1,2026-01-26 18:15:00,92.1,43.4,Half Empty
1,2026-01-26 18:30:00,90.4,43.8,Half Empty
1,2026-01-26 18:45:00,91.3,44.1,Half Empty
1,2026-01-26 19:00:00,89.2,44.7,Half Empty
1,2026-01-26 19:15:00,88.4,45.4,Half Empty
1,2026-01-26 19:30:00,87.5,46.3,Half Empty
1,2026-01-26 19:45:00,85.2,47.2,Half Empty
1,2026-01-26 20:00:00,86.7,47.6,Half Empty
1,2026-01-26 20:15:00,84.2,48.0,Half Empty
1,2026-01-26 20:30:00,83.3,48.7,Half Empty
1,2026-01-26 20:45:00,83.7,49.4,Half Empty
1,2026-01-26 21:00:00,80.7,49.9,Half Empty
1,2026-01-26 21:15:00,81.9,50.7,Half Full
1,2026-01-26 21:30:00,80.3,51.1,Half Full
1,2026-01-26 21:45:00,78.4,51.7,Half Full
1,2026-01-26 22:00:00,76.8,51.7,Half Full
1,2026-01-26 22:15:00,79.1,52.2,Half Full
1,2026-01-26 22:30:00,78.7,52.3,Half Full
1,2026-01-26 22:45:00,81.3,52.6,Half Full
1,2026-01-26 23:00:00,78.4,52.8,Half Full
1,2026-01-26 23:15:00,76.5,52.9,Half Full
1,2026-01-26 23:30:00,78.7,53.2,Half Full
1,2026-01-26 23:45:00,76.5,53.3,Half Full
1,2026-01-27 00:00:00,76.0,53.4,Half Full
1,2026-01-27 00:15:00,76.5,53.4,Half Full
1,2026-01-27 00:30:00,76.8,53.4,Half Full
1,2026-01-27 00:45:00,77.6,53.5,Half Full
1,2026-01-27 01:00:00,78.7,53.5,Half Full
1,2026-01-27 01:15:00,75.8,53.5,Half Full
1,2026-01-27 01:30:00,76.9,53.5,Half Full
1,2026-01-27 01:45:00,77.5,54.0,Half Full
1,2026-01-27 02:00:00,77.9,54.1,Half Full
1,2026-01-27 02:15:00,74.1,54.3,Half Full
1,2026-01-27 02:30:00,74.6,54.3,Half Full
1,2026-01-27 02:45:00,75.7,54.5,Half Full
1,2026-01-27 03:00:00,73.7,54.5,Half Full
1,2026-01-27 03:15:00,73.8,54.6,Half Full
1,2026-01-27 03:30:00,73.5,55.1,Half Full
1,2026-01-27 03:45:00,76.8,55.1,Half Full
1,2026-01-27 04:00:00,74.6,55.1,Half Full
1,2026-01-27 04:15:00,76.0,55.2,Half Full
1,2026-01-27 04:30:00,75.0,55.6,Half Full
1,2026-01-27 04:45:00,71.4,55.6,Half Full
1,2026-01-27 05:00:00,71.6,56.1,Half Full
1,2026-01-27 05:15:00,74.4,56.1,Half Full
1,2026-01-27 05:30:00,72.3,56.3,Half Full
1,2026-01-27 05:45:00,73.3,56.3,Half Full
1,2026-01-27 06:00:00,70.7,56.9,Half Full
1,2026-01-27 06:15:00,69.2,57.5,Half Full
1,2026-01-27 06:30:00,70.2,57.6,Half Full
1,2026-01-27 06:45:00,69.2,58.3,Half Full
1,2026-01-27 07:00:00,66.6,58.8,Half Full
1,2026-01-27 07:15:00,67.1,59.4,Half Full
1,2026-01-27 07:30:00,66.8,59.7,Half Full
1,2026-01-27 07:45:00,66.9,59.8,Half Full
1,2026-01-27 08:00:00,66.9,60.1,Half Full
1,2026-01-27 08:15:00,67.3,60.2,Half Full
1,2026-01-27 08:30:00,65.3,60.4,Half Full
1,2026-01-27 08:45:00,65.5,60.8,Half Full
1,2026-01-27 09:00:00,63.4,61.4,Half Full
1,2026-01-27 09:15:00,64.3,61.9,Half Full
1,2026-01-27 09:30:00,64.0,62.4,Half Full
1,2026-01-27 09:45:00,63.6,62.9,Half Full
1,2026-01-27 10:00:00,61.2,63.7,Half Full
1,2026-01-27 10:15:00,60.2,64.3,Half Full
1,2026-01-27 10:30:00,58.8,65.3,Half Full
1,2026-01-27 10:45:00,58.6,66.3,Half Full
1,2026-01-27 11:00:00,54.0,67.5,Half Full
1,2026-01-27 11:15:00,52.9,68.4,Half Full
1,2026-01-27 11:30:00,53.0,69.3,Half Full
1,2026-01-27 11:45:00,52.4,70.0,Half Full
1,2026-01-27 12:00:00,50.9,70.8,Half Full
1,2026-01-27 12:15:00,47.1,71.9,Half Full
1,2026-01-27 12:30:00,47.4,72.5,Half Full
1,2026-01-27 12:45:00,46.9,73.6,Half Full
1,2026-01-27 13:00:00,44.6,74.2,Half Full
1,2026-01-27 13:15:00,44.7,75.1,Half Full
1,2026-01-27 13:30:00,42.5,75.9,Half Full
1,2026-01-27 13:45:00,40.8,76.7,Half Full
1,2026-01-27 14:00:00,43.8,77.2,Half Full
1,2026-01-27 14:15:00,39.5,78.1,Half Full
1,2026-01-27 14:30:00,39.3,79.0,Half Full
1,2026-01-27 14:45:00,38.8,79.6,Half Full
1,2026-01-27 15:00:00,156.7,0.6,Collected
1,2026-01-27 15:15:00,158.0,1.2,Collected
1,2026-01-27 15:30:00,155.0,1.7,Collected
1,2026-01-27 15:45:00,154.9,2.4,Collected
1,2026-01-27 16:00:00,154.4,3.2,Collected
1,2026-01-27 16:15:00,151.9,3.8,Collected
1,2026-01-27 16:30:00,150.5,4.5,Collected
1,2026-01-27 16:45:00,153.1,5.3,Collected
1,2026-01-27 17:00:00,148.9,5.6,Collected
1,2026-01-27 17:15:00,147.0,6.2,Collected
1,2026-01-27 17:30:00,146.0,7.0,Collected
1,2026-01-27 17:45:00,146.5,7.5,Collected
1,2026-01-27 18:00:00,147.2,8.1,Collected
1,2026-01-27 18:15:00,144.1,8.9,Collected
1,2026-01-27 18:30:00,141.9,9.8,Collected
1,2026-01-27 18:45:00,141.8,10.4,Half Empty
1,2026-01-27 19:00:00,139.2,11.0,Half Empty
1,2026-01-27 19:15:00,138.6,11.8,Half Empty
1,2026-01-27 19:30:00,139.1,12.4,Half Empty
1,2026-01-27 19:45:00,137.9,12.9,Half Empty
1,2026-01-27 20:00:00,138.4,13.5,Half Empty
1,2026-01-27 20:15:00,137.0,14.0,Half Empty
1,2026-01-27 20:30:00,134.6,14.6,Half Empty
1,2026-01-27 20:45:00,132.9,15.3,Half Empty
1,2026-01-27 21:00:00,133.7,15.9,Half Empty
1,2026-01-27 21:15:00,131.5,16.5,Half Empty
1,2026-01-27 21:30:00,133.8,17.0,Half Empty
1,2026-01-27 21:45:00,131.8,17.2,Half Empty
1,2026-01-27 22:00:00,130.6,17.4,Half Empty
1,2026-01-27 22:15:00,130.3,18.2,Half Empty
1,2026-01-27 22:30:00,133.0,18.4,Half Empty
1,2026-01-27 22:45:00,131.6,18.6,Half Empty
1,2026-01-27 23:00:00,129.6,18.9,Half Empty
1,2026-01-27 23:15:00,131.4,19.0,Half Empty
1,2026-01-27 23:30:00,128.6,19.3,Half Empty
1,2026-01-27 23:45:00,128.6,19.8,Half Empty
1,2026-01-28 00:00:00,126.2,19.8,Half Empty
1,2026-01-28 00:15:00,125.3,19.8,Half Empty
1,2026-01-28 00:30:00,127.4,20.0,Half Empty
1,2026-01-28 00:45:00,128.0,20.1,Half Empty
1,2026-01-28 01:00:00,126.6,20.5,Half Empty
1,2026-01-28 01:15:00,125.9,20.8,Half Empty
1,2026-01-28 01:30:00,129.2,20.9,Half Empty
1,2026-01-28 01:45:00,124.9,21.0,Half Empty
1,2026-01-28 02:00:00,124.0,21.2,Half Empty
1,2026-01-28 02:15:00,124.7,21.3,Half Empty
1,2026-01-28 02:30:00,126.5,21.4,Half Empty
1,2026-01-28 02:45:00,124.4,21.4,Half Empty
1,2026-01-28 03:00:00,125.0,21.6,Half Empty
1,2026-01-28 03:15:00,126.6,21.6,Half Empty
1,2026-01-28 03:30:00,123.6,21.9,Half Empty
1,2026-01-28 03:45:00,122.9,21.9,Half Empty
1,2026-01-28 04:00:00,124.2,22.1,Half Empty
1,2026-01-28 04:15:00,125.7,22.2,Half Empty
1,2026-01-28 04:30:00,125.2,22.4,Half Empty
1,2026-01-28 04:45:00,124.1,22.5,Half Empty
1,2026-01-28 05:00:00,124.4,22.7,Half Empty
1,2026-01-28 05:15:00,122.6,22.8,Half Empty
1,2026-01-28 05:30:00,122.2,22.9,Half Empty
1,2026-01-28 05:45:00,122.4,22.9,Half Empty
